imgName,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49
118,3308.547651,177.2351379,-1241.022572,2523.099964,-667.5193459,321.0681117,-1571.331925,-1599.841563,1046.637951,283.8157721,732.0985924,692.9410534,-251.9965068,356.5043179,954.0476749,-59.23282312,891.1800261,169.0015891,-849.8753109,-646.1307003,-29.43915772,-299.7297737,-311.0798558,-151.7564884,1169.57733,-70.72765785,-167.5913201,209.2478987,1077.112058,381.0051826,-701.3219144,787.2646028,-406.7348937,935.0685309,1317.56493,996.0338537,-200.5499231,-270.0108534,113.607182,130.704926,-157.3237864,-497.0357356,530.3822099,560.3163956,139.4066271,211.4928332,-680.6956735,-453.3193245,-47.70141778,569.1953238
123,-2383.766569,708.4079304,36.35535281,-144.6618147,-790.4012127,-1146.594338,-455.2435174,-1073.656846,106.9551122,-233.2748355,-1553.136472,22.16237886,215.3297845,-32.96688584,-160.5076961,261.6395011,-324.8437672,-196.7833451,779.4468774,-123.7494835,1121.164697,411.5380517,1827.934099,-79.86551515,-641.4110004,-155.0751088,-859.0050341,-352.7251352,630.7667366,-648.7872313,-1234.734535,3005.530642,120.0957563,698.8956695,-66.881709,-626.3836061,497.8203156,609.8479544,-213.9877329,113.4321809,-142.2211085,-421.9250172,-505.920447,-928.7419756,-581.6127713,-439.2066229,282.3722828,-136.8434996,307.3831097,-136.4862791
124,-205.1031123,-1274.169442,-2849.551122,-1322.28452,-384.3689556,233.8677884,1684.3291,1646.982043,1441.913942,-477.7604316,-716.3494035,749.4554008,-510.2692201,1491.647207,-753.5662395,-1497.280478,-401.8554912,-1475.063184,476.0305153,-112.1474326,-163.3724992,-227.836374,-537.8891565,-661.7727715,-125.5114968,378.8008579,934.3986034,252.0633562,909.7536191,53.85934998,301.5507931,121.6499034,-543.035286,256.9374478,-162.8416382,212.8471142,272.2042576,-296.1127479,235.9734002,373.4850954,265.2135458,-514.0124096,-652.9068054,162.3653557,-704.2377505,420.0755499,-1114.940527,126.4939833,-161.1396974,-87.53226931
126,4110.807916,3094.621641,-742.0194145,381.237221,656.4496972,1002.125261,-994.9182049,-3455.487846,1149.519848,257.5712023,-145.5794625,1064.817218,703.2636003,1718.6755,1551.927912,480.6640657,524.6348008,-462.9219784,-334.3841386,-815.6024543,-400.0866129,-677.243697,1423.984225,-215.0966162,48.52240442,-920.8846586,-533.0583255,292.4357045,861.9128965,-182.461812,27.1922208,-820.7357139,-595.5334873,567.3226311,1072.156822,-283.3477181,1387.554939,238.6878536,99.26566544,187.6275604,-231.1873165,130.1671437,-343.3138986,900.776666,-434.8391095,80.26745196,-129.6387498,444.2450887,-656.8448585,529.8503142
128,875.7651152,-527.4556349,2874.8476,-902.8003974,3051.8331,-1731.924528,-1148.098551,3451.55882,882.645636,1045.997005,-553.7479252,666.0085073,-947.0944621,-56.24227756,1183.951859,-327.1020212,205.9242011,-182.9880048,-365.8156037,-627.8535314,231.9644582,395.446462,651.7913348,58.1896765,1574.219694,523.7229674,-218.8143959,-368.6045261,-273.0601909,-16.54198599,217.8868424,57.08787193,29.48781217,544.7260088,-384.1583521,254.7184868,415.7007321,-172.0833021,248.3364613,-996.6522139,-433.7331089,-203.8905555,-238.172106,-598.2226745,-734.0686103,-272.7244374,257.0684116,541.1172665,-647.399945,137.4979938
129,-2347.663755,1345.152689,-808.5725682,-236.8788046,-92.64396162,1855.349409,-945.8048334,768.2587085,2.030722339,868.3045284,142.9487993,305.3385636,1390.238309,-537.6241015,-588.3438363,-1412.976896,317.5479397,577.3962449,-2138.671164,340.239169,1337.664295,-32.33156716,200.409846,-721.2147305,-748.5333318,1168.487819,-282.0489183,-284.2977521,30.28784559,285.0463724,197.8684093,-637.6391069,847.3814043,-690.3186279,-72.99210427,767.0530818,-178.9856675,-612.486841,-47.70142352,303.6530961,-6.546022301,153.6868907,721.4553808,90.70934571,-377.6507958,-717.3988701,-182.9014473,-34.0332087,13.32874926,-92.36754599
131,-2823.387907,1981.954208,855.8734487,582.3325445,1514.927198,-253.9353559,943.5465289,1066.609519,363.825603,-2089.826681,2078.132014,85.47881744,775.8338014,610.2477339,1496.475173,853.9688207,-49.92219492,68.33529005,-1334.421723,947.8555013,-1583.779964,1177.616061,-1730.07727,632.8267473,742.750016,54.05648967,-240.6670618,106.2522251,-428.9363507,1088.373046,388.9581356,-581.4017446,-71.07483998,-351.1054336,832.3136097,224.8773418,-588.6720223,-166.0308002,472.7986941,719.668334,99.62233879,594.3457718,9.373573394,107.233321,560.191056,476.3808495,-329.2065902,-108.0011971,519.6196022,-109.9378697
132,340.5733638,-873.5718257,283.7642939,-1261.181072,2556.786971,-2348.688034,-1817.040303,1197.185416,-2397.334235,1623.108747,497.8961698,-1223.619803,466.0887536,-299.8162373,386.2497218,-277.416358,95.10297075,-1247.140839,324.9773863,-1185.252601,-1039.428241,659.3446844,416.6784432,-2325.849611,274.7213345,-50.31600947,365.9736087,-436.6071602,-387.387945,-5.39755991,-1258.177636,1.77330362,-654.7293834,572.6892399,24.36787334,-32.4823598,108.6161941,-1029.082514,719.1574432,-338.513442,594.1720717,475.8228928,450.4047321,-1452.653477,-778.9040693,75.63733253,90.81839418,-75.02610983,276.1791974,-796.6877932
152,-1035.827558,2853.055364,1849.944959,593.3665571,-246.7169674,42.7201467,3343.951662,996.9296489,-621.404535,-1786.46382,-175.3309216,-560.3013752,-705.0778533,768.1372676,1247.388845,2209.657823,1781.331131,-63.71178798,784.5023516,-425.0808721,-511.5421526,-1079.475302,-1139.962875,-449.6431201,-46.39861616,-713.5212528,2.073758232,-1172.194157,263.4836146,-187.1015006,1070.13368,-476.3591469,516.3262374,-396.5766113,891.9270955,812.3694586,282.6186939,165.7843213,-711.9828698,-699.5584152,-14.41590172,394.617552,-162.6439827,-96.90315048,248.0672696,-446.5689071,-281.6217791,-130.770504,-193.0623272,-265.3994965
155,-1782.496763,-252.4073197,973.2717299,-979.8069005,-2366.36469,-1085.85995,-648.1147186,-908.5268638,714.8763709,-454.6625138,-715.4766709,-2.135973881,1293.593675,853.9361753,-588.5530663,41.85078067,-363.2473863,726.3951754,-975.7558876,-673.553559,439.5695816,13.24187643,-109.3566308,424.2570853,837.3047861,-1168.280257,-189.9390684,-96.44438749,593.2605482,-530.6217694,-400.4828633,307.5609605,-351.8459778,-301.3505888,-524.4073198,-55.01466994,187.149581,-249.7760561,-507.0370377,438.2567254,-30.9634047,-81.36105624,-36.49856043,531.7334009,665.4404537,-915.6433472,-122.9944556,371.4344135,160.197923,-23.64149974
